#Name Omega0 sigma8 WindEnergyIn1e51erg RadioFeedbackFactor VariableWindVelFactor RadioFeedbackReiorientationFactor OmegaBaryon HubbleParam n_s MaxSfrTimescale FactorForSofterEQS IMFslope SNII_MinMass_Msun ThermalWindFraction VariableWindSpecMomentum WindFreeTravelDensFac MinWindVel WindEnergyReductionFactor WindEnergyReductionMetallicity WindEnergyReductionExponent WindDumpFactor SeedBlackHoleMass BlackHoleAccretionFactor BlackHoleEddingtonFactor BlackHoleFeedbackFactor BlackHoleRadiativeEfficiency QuasarThreshold QuasarThresholdPower seed
1P_p15_4    0.3   0.8   3.6     1   7.4    20 0.049 0.6711 0.9624  2.27   0.3  -2.3     8   0.1  4000  0.05   350  0.25 0.002     2   0.6 8e-05     1     1   0.1   0.2 0.002     2    67
1P_p16_n2   0.3   0.8   3.6     1   7.4    20 0.049 0.6711 0.9624  2.27   0.3  -2.3     8   0.1  0 0.005   350  0.25 0.002     2   0.6 8e-05     1     1   0.1   0.2 0.002     2    67
1P_p16_n1   0.3   0.8   3.6     1   7.4    20 0.049 0.6711 0.9624  2.27   0.3  -2.3     8   0.1  0 0.01581 350  0.25 0.002     2   0.6 8e-05     1     1   0.1   0.2 0.002     2    67
1P_p16_0     0.3   0.8   3.6     1   7.4    20 0.049 0.6711 0.9624  2.27   0.3  -2.3     8   0.1  0  0.05   350  0.25 0.002     2   0.6 8e-05     1     1   0.1   0.2 0.002     2    67
1P_p16_1    0.3   0.8   3.6     1   7.4    20 0.049 0.6711 0.9624  2.27   0.3  -2.3     8   0.1  0 0.1581  350  0.25 0.002     2   0.6 8e-05     1     1   0.1   0.2 0.002     2    67
1P_p16_2    0.3   0.8   3.6     1   7.4    20 0.049 0.6711 0.9624  2.27   0.3  -2.3     8   0.1  0   0.5   350  0.25 0.002     2   0.6 8e-05     1     1   0.1   0.2 0.002     2    67
1P_p17_n2   0.3   0.8   3.6     1   7.4    20 0.049 0.6711 0.9624  2.27   0.3  -2.3     8   0.1  0  0.05   150  0.25 0.002     2   0.6 8e-05     1     1   0.1   0.2 0.002     2    67
1P_p17_n1   0.3   0.8   3.6     1   7.4    20 0.049 0.6711 0.9624  2.27   0.3  -2.3     8   0.1  0  0.05   250  0.25 0.002     2   0.6 8e-05     1     1   0.1   0.2 0.002     2    67
1P_p17_0     0.3   0.8   3.6     1   7.4    20 0.049 0.6711 0.9624  2.27   0.3  -2.3     8   0.1  0  0.05   350  0.25 0.002     2   0.6 8e-05     1     1   0.1   0.2 0.002     2    67
1P_p17_1    0.3   0.8   3.6     1   7.4    20 0.049 0.6711 0.9624  2.27   0.3  -2.3     8   0.1  0  0.05   450  0.25 0.002     2   0.6 8e-05     1     1   0.1   0.2 0.002     2    67
1P_p17_2    0.3   0.8   3.6     1   7.4    20 0.049 0.6711 0.9624  2.27   0.3  -2.3     8   0.1  0  0.05   550  0.25 0.002     2   0.6 8e-05     1     1   0.1   0.2 0.002     2    67
1P_p18_n2   0.3   0.8   3.6     1   7.4    20 0.049 0.6711 0.9624  2.27   0.3  -2.3     8   0.1  0  0.05   350 0.0625 0.002    2   0.6 8e-05     1     1   0.1   0.2 0.002     2    67
1P_p18_n1   0.3   0.8   3.6     1   7.4    20 0.049 0.6711 0.9624  2.27   0.3  -2.3     8   0.1  0  0.05   350 0.125 0.002     2   0.6 8e-05     1     1   0.1   0.2 0.002     2    67
1P_p18_0     0.3   0.8   3.6     1   7.4    20 0.049 0.6711 0.9624  2.27   0.3  -2.3     8   0.1  0  0.05   350  0.25 0.002     2   0.6 8e-05     1     1   0.1   0.2 0.002     2    67
1P_p18_1    0.3   0.8   3.6     1   7.4    20 0.049 0.6711 0.9624  2.27   0.3  -2.3     8   0.1  0  0.05   350   0.5 0.002     2   0.6 8e-05     1     1   0.1   0.2 0.002     2    67
1P_p18_2    0.3   0.8   3.6     1   7.4    20 0.049 0.6711 0.9624  2.27   0.3  -2.3     8   0.1  0  0.05   350     1 0.002     2   0.6 8e-05     1     1   0.1   0.2 0.002     2    67
1P_p19_n2   0.3   0.8   3.6     1   7.4    20 0.049 0.6711 0.9624  2.27   0.3  -2.3     8   0.1  0  0.05   350  0.25 0.0005    2   0.6 8e-05     1     1   0.1   0.2 0.002     2    67
1P_p19_n1   0.3   0.8   3.6     1   7.4    20 0.049 0.6711 0.9624  2.27   0.3  -2.3     8   0.1  0  0.05   350  0.25 0.001     2   0.6 8e-05     1     1   0.1   0.2 0.002     2    67
1P_p19_0     0.3   0.8   3.6     1   7.4    20 0.049 0.6711 0.9624  2.27   0.3  -2.3     8   0.1  0  0.05   350  0.25 0.002     2   0.6 8e-05     1     1   0.1   0.2 0.002     2    67
1P_p19_1    0.3   0.8   3.6     1   7.4    20 0.049 0.6711 0.9624  2.27   0.3  -2.3     8   0.1  0  0.05   350  0.25 0.004     2   0.6 8e-05     1     1   0.1   0.2 0.002     2    67
1P_p19_2    0.3   0.8   3.6     1   7.4    20 0.049 0.6711 0.9624  2.27   0.3  -2.3     8   0.1  0  0.05   350  0.25 0.008     2   0.6 8e-05     1     1   0.1   0.2 0.002     2    67
1P_p20_n2   0.3   0.8   3.6     1   7.4    20 0.049 0.6711 0.9624  2.27   0.3  -2.3     8   0.1  0  0.05   350  0.25 0.002     1   0.6 8e-05     1     1   0.1   0.2 0.002     2    67
1P_p20_n1   0.3   0.8   3.6     1   7.4    20 0.049 0.6711 0.9624  2.27   0.3  -2.3     8   0.1  0  0.05   350  0.25 0.002   1.5   0.6 8e-05     1     1   0.1   0.2 0.002     2    67
1P_p20_0     0.3   0.8   3.6     1   7.4    20 0.049 0.6711 0.9624  2.27   0.3  -2.3     8   0.1  0  0.05   350  0.25 0.002     2   0.6 8e-05     1     1   0.1   0.2 0.002     2    67
1P_p20_1    0.3   0.8   3.6     1   7.4    20 0.049 0.6711 0.9624  2.27   0.3  -2.3     8   0.1  0  0.05   350  0.25 0.002   2.5   0.6 8e-05     1     1   0.1   0.2 0.002     2    67
1P_p20_2    0.3   0.8   3.6     1   7.4    20 0.049 0.6711 0.9624  2.27   0.3  -2.3     8   0.1  0  0.05   350  0.25 0.002     3   0.6 8e-05     1     1   0.1   0.2 0.002     2    67
1P_p21_n2   0.3   0.8   3.6     1   7.4    20 0.049 0.6711 0.9624  2.27   0.3  -2.3     8   0.1  0  0.05   350  0.25 0.002     2   0.2 8e-05     1     1   0.1   0.2 0.002     2    67
1P_p21_n1   0.3   0.8   3.6     1   7.4    20 0.049 0.6711 0.9624  2.27   0.3  -2.3     8   0.1  0  0.05   350  0.25 0.002     2   0.4 8e-05     1     1   0.1   0.2 0.002     2    67
1P_p21_0     0.3   0.8   3.6     1   7.4    20 0.049 0.6711 0.9624  2.27   0.3  -2.3     8   0.1  0  0.05   350  0.25 0.002     2   0.6 8e-05     1     1   0.1   0.2 0.002     2    67
1P_p21_1    0.3   0.8   3.6     1   7.4    20 0.049 0.6711 0.9624  2.27   0.3  -2.3     8   0.1  0  0.05   350  0.25 0.002     2   0.8 8e-05     1     1   0.1   0.2 0.002     2    67
1P_p21_2    0.3   0.8   3.6     1   7.4    20 0.049 0.6711 0.9624  2.27   0.3  -2.3     8   0.1  0  0.05   350  0.25 0.002     2     1 8e-05     1     1   0.1   0.2 0.002     2    67
1P_p22_n2   0.3   0.8   3.6     1   7.4    20 0.049 0.6711 0.9624  2.27   0.3  -2.3     8   0.1  0  0.05   350  0.25 0.002     2   0.6 2.532e-05 1     1   0.1   0.2 0.002     2    67
1P_p22_n1   0.3   0.8   3.6     1   7.4    20 0.049 0.6711 0.9624  2.27   0.3  -2.3     8   0.1  0  0.05   350  0.25 0.002     2   0.6 4.5e-05   1     1   0.1   0.2 0.002     2    67
1P_p22_0     0.3   0.8   3.6     1   7.4    20 0.049 0.6711 0.9624  2.27   0.3  -2.3     8   0.1  0  0.05   350  0.25 0.002     2   0.6 8e-05     1     1   0.1   0.2 0.002     2    67
1P_p22_1    0.3   0.8   3.6     1   7.4    20 0.049 0.6711 0.9624  2.27   0.3  -2.3     8   0.1  0  0.05   350  0.25 0.002     2   0.6 0.0001422 1     1   0.1   0.2 0.002     2    67
1P_p22_2    0.3   0.8   3.6     1   7.4    20 0.049 0.6711 0.9624  2.27   0.3  -2.3     8   0.1  0  0.05   350  0.25 0.002     2   0.6 0.0002528 1     1   0.1   0.2 0.002     2    67
1P_p23_n2   0.3   0.8   3.6     1   7.4    20 0.049 0.6711 0.9624  2.27   0.3  -2.3     8   0.1  0  0.05   350  0.25 0.002     2   0.6 8e-05  0.25     1   0.1   0.2 0.002     2    67
1P_p23_n1   0.3   0.8   3.6     1   7.4    20 0.049 0.6711 0.9624  2.27   0.3  -2.3     8   0.1  0  0.05   350  0.25 0.002     2   0.6 8e-05   0.5     1   0.1   0.2 0.002     2    67
1P_p23_0     0.3   0.8   3.6     1   7.4    20 0.049 0.6711 0.9624  2.27   0.3  -2.3     8   0.1  0  0.05   350  0.25 0.002     2   0.6 8e-05     1     1   0.1   0.2 0.002     2    67
1P_p23_1    0.3   0.8   3.6     1   7.4    20 0.049 0.6711 0.9624  2.27   0.3  -2.3     8   0.1  0  0.05   350  0.25 0.002     2   0.6 8e-05     2     1   0.1   0.2 0.002     2    67
1P_p23_2    0.3   0.8   3.6     1   7.4    20 0.049 0.6711 0.9624  2.27   0.3  -2.3     8   0.1  0  0.05   350  0.25 0.002     2   0.6 8e-05     4     1   0.1   0.2 0.002     2    67
1P_p24_n2   0.3   0.8   3.6     1   7.4    20 0.049 0.6711 0.9624  2.27   0.3  -2.3     8   0.1  0  0.05   350  0.25 0.002     2   0.6 8e-05     1   0.1   0.1   0.2 0.002     2    67
1P_p24_n1   0.3   0.8   3.6     1   7.4    20 0.049 0.6711 0.9624  2.27   0.3  -2.3     8   0.1  0  0.05   350  0.25 0.002     2   0.6 8e-05     1 0.3162  0.1   0.2 0.002     2    67
1P_p24_0     0.3   0.8   3.6     1   7.4    20 0.049 0.6711 0.9624  2.27   0.3  -2.3     8   0.1  0  0.05   350  0.25 0.002     2   0.6 8e-05     1     1   0.1   0.2 0.002     2    67
1P_p24_1    0.3   0.8   3.6     1   7.4    20 0.049 0.6711 0.9624  2.27   0.3  -2.3     8   0.1  0  0.05   350  0.25 0.002     2   0.6 8e-05     1 3.162   0.1   0.2 0.002     2    67
1P_p24_2    0.3   0.8   3.6     1   7.4    20 0.049 0.6711 0.9624  2.27   0.3  -2.3     8   0.1  0  0.05   350  0.25 0.002     2   0.6 8e-05     1    10   0.1   0.2 0.002     2    67
1P_p25_n2   0.3   0.8   3.6     1   7.4    20 0.049 0.6711 0.9624  2.27   0.3  -2.3     8   0.1  0  0.05   350  0.25 0.002     2   0.6 8e-05     1     1 0.025   0.2 0.002     2    67
1P_p25_n1   0.3   0.8   3.6     1   7.4    20 0.049 0.6711 0.9624  2.27   0.3  -2.3     8   0.1  0  0.05   350  0.25 0.002     2   0.6 8e-05     1     1  0.05   0.2 0.002     2    67
1P_p25_0     0.3   0.8   3.6     1   7.4    20 0.049 0.6711 0.9624  2.27   0.3  -2.3     8   0.1  0  0.05   350  0.25 0.002     2   0.6 8e-05     1     1   0.1   0.2 0.002     2    67
